Date,League,Home_Team,Away_Team,URL,Over 0.5,Under 0.5,Over 1.5,Under 1.5,Over 2.5,Under 2.5,Over 3.5,Under 3.5,Over 4.5,Under 4.5,Over 5.5,Under 5.5,Chosen_Option,Chosen_Odds,Chosen_Option_Empirical_Prob,N,Chosen_Option_Std,Kelly,Record_Time
2021-04-16,league-two,Crawley,Cheltenham,https://www.playnow.com/sports/sports/event/10353757/soccer/united-kingdom/english-league-2/crawley-town-v-cheltenham-town,1.05,10,1.3,3.2,1.95,1.75,3.4,1.28,6,1.09,0,0,Over 3.5,3.4,0.4,5,0.219089023002066,1.85,2021-04-15 00:55:39
2021-04-13,league-two,Walsall,Tranmere,https://www.playnow.com/sports/sports/event/10353190/soccer/united-kingdom/english-league-2/walsall-fc-v-tranmere-rovers,1.08,8,1.4,2.7,2.25,1.57,4,1.2,7.5,1.06,0,0,"",,,,,,2021-04-12 02:43:05
2021-04-13,league-two,Salford,Bolton,https://www.playnow.com/sports/sports/event/10353187/soccer/united-kingdom/english-league-2/salford-city-fc-v-bolton-wanderers,1.08,8,1.4,2.75,2.25,1.57,4,1.2,7.5,1.06,0,0,"",,,,,,2021-04-12 02:42:47
2021-04-13,league-two,Newport,Carlisle,https://www.playnow.com/sports/sports/event/10353189/soccer/united-kingdom/english-league-2/newport-county-afc-v-carlisle-united,1.08,8,1.4,2.7,2.25,1.57,4,1.2,7.5,1.05,0,0,Over 3.5,4,0.166666666666667,6,0.152145154862546,2.85185185185185,2021-04-12 02:42:29
2021-04-13,league-two,Morecambe,Scunthorpe,https://www.playnow.com/sports/sports/event/10353185/soccer/united-kingdom/english-league-2/morecambe-fc-v-scunthorpe-united,1.05,10,1.3,3.2,1.95,1.75,3.4,1.28,6,1.09,0,0,Over 3.5,3.4,0,1,0,2.41666666666667,2021-04-12 02:41:17
2021-04-13,league-two,Harrogate,Leyton Orient,https://www.playnow.com/sports/sports/event/10353191/soccer/united-kingdom/english-league-2/harrogate-town-fc-v-leyton-orient,1.08,7.5,1.47,2.55,2.4,1.5,4.5,1.16,8,1.04,0,0,"",,,,,,2021-04-12 02:42:11
2021-04-13,league-two,Bradford City,Crawley,https://www.playnow.com/sports/sports/event/10353188/soccer/united-kingdom/english-league-2/bradford-city-v-crawley-town,1.06,9,1.33,3,2.05,1.67,3.6,1.25,6.5,1.08,0,0,Over 3.5,3.6,0,2,0,2.63636363636364,2021-04-12 02:41:53
2021-04-13,league-two,Barrow,Exeter,https://www.playnow.com/sports/sports/event/10353186/soccer/united-kingdom/english-league-2/barrow-afc-v-exeter-city,1.06,9,1.36,3,2.1,1.67,3.6,1.25,6.5,1.07,0,0,"",,,,,,2021-04-12 02:41:35
2021-04-10,league-two,Walsall,Forest Green,https://www.playnow.com/sports/sports/event/10347914/soccer/united-kingdom/english-league-2/walsall-fc-v-forest-green-rovers,1.09,7.5,1.44,2.65,2.35,1.53,4.25,1.18,8,1.05,0,0,Over 3.5,4.25,0,1,0,3.74193548387097,2021-04-09 01:03:31
2021-04-10,league-two,Southend,Crawley,https://www.playnow.com/sports/sports/event/10347913/soccer/united-kingdom/english-league-2/southend-united-v-crawley-town,1.08,7.5,1.4,2.7,2.3,1.57,4,1.2,7.5,1.05,0,0,Over 3.5,4,0,1,0,3.22222222222222,2021-04-09 01:03:13
2021-04-10,league-two,Scunthorpe,Tranmere,https://www.playnow.com/sports/sports/event/10347911/soccer/united-kingdom/english-league-2/scunthorpe-united-v-tranmere-rovers,1.08,7.5,1.44,2.6,2.35,1.53,4.25,1.18,8,1.05,0,0,"",,,,,,2021-04-09 01:02:56
2021-04-10,league-two,Salford,Stevenage,https://www.playnow.com/sports/sports/event/10347912/soccer/united-kingdom/english-league-2/salford-city-fc-v-stevenage-fc,1.1,6.5,1.53,2.35,2.6,1.44,5,1.14,9,1.03,0,0,Over 3.5,5,0,1,0,7.25,2021-04-09 01:02:38
2021-04-10,league-two,Port Vale,Morecambe,https://www.playnow.com/sports/sports/event/10347910/soccer/united-kingdom/english-league-2/port-vale-v-morecambe-fc,1.06,9,1.33,3,2.05,1.67,3.6,1.25,6.5,1.08,0,0,Over 3.5,3.6,0.375,8,0.171163299220364,2.02272727272727,2021-04-09 01:02:19
2021-04-10,league-two,Cheltenham,Leyton Orient,https://www.playnow.com/sports/sports/event/10347907/soccer/united-kingdom/english-league-2/cheltenham-town-v-leyton-orient,1.06,9,1.36,2.9,2.1,1.67,3.75,1.22,7,1.07,0,0,Over 3.5,3.75,0,8,0,2.82926829268293,2021-04-09 01:02:01
2021-04-10,league-two,Cambridge Utd,Exeter,https://www.playnow.com/sports/sports/event/10347908/soccer/united-kingdom/english-league-2/cambridge-united-v-exeter-city,1.06,9,1.33,3,2.05,1.67,3.6,1.25,6.5,1.08,0,0,Over 3.5,3.6,0.25,8,0.153093108923949,2.22727272727273,2021-04-09 01:01:43
2021-04-10,league-two,Bradford City,Grimsby,https://www.playnow.com/sports/sports/event/10347906/soccer/united-kingdom/english-league-2/bradford-city-v-grimsby-town,1.08,7.5,1.44,2.6,2.35,1.53,4.25,1.18,8,1.05,0,0,Over 3.5,4.25,0,4,0,3.74193548387097,2021-04-09 01:01:25
2021-04-10,league-two,Bolton,Harrogate,https://www.playnow.com/sports/sports/event/10347909/soccer/united-kingdom/english-league-2/bolton-wanderers-v-harrogate-town-fc,1.06,10,1.36,2.9,2.1,1.67,3.75,1.22,7,1.07,0,0,"",,,,,,2021-04-09 01:01:07
2021-04-10,league-two,Barrow,Carlisle,https://www.playnow.com/sports/sports/event/10347904/soccer/united-kingdom/english-league-2/barrow-afc-v-carlisle-united,1.08,8,1.4,2.7,2.25,1.57,4,1.2,7.5,1.05,0,0,"",,,,,,2021-04-09 01:00:49
2021-04-09,league-two,Oldham,Colchester,https://www.playnow.com/sports/sports/event/10347905/soccer/united-kingdom/english-league-2/oldham-athletic-v-colchester-united,1.05,10,1.3,3.2,1.95,1.75,3.25,1.28,6,1.09,0,0,Over 3.5,3.25,0.5,2,0.353553390593274,1.63725490196078,2021-04-08 00:22:01
2021-04-09,league-two,Mansfield,Newport,https://www.playnow.com/sports/sports/event/10347899/soccer/united-kingdom/english-league-2/mansfield-town-v-newport-county-afc,1.09,7.5,1.44,2.55,2.4,1.5,4.25,1.18,8,1.05,0,0,Over 3.5,4.25,0.142857142857143,7,0.132260014253222,3.35023041474654,2021-04-08 00:21:43
2021-04-06,league-two,Morecambe,Southend,https://www.playnow.com/sports/sports/event/10344907/soccer/united-kingdom/english-league-2/morecambe-fc-v-southend-united,1.05,10,1.33,3,2,1.75,3.4,1.28,6.5,1.09,0,0,Over 3.5,3.4,0.2,5,0.178885438199983,2.13333333333333,2021-04-05 00:01:20
2021-04-06,league-two,Carlisle,Scunthorpe,https://www.playnow.com/sports/sports/event/10344906/soccer/united-kingdom/english-league-2/carlisle-united-v-scunthorpe-united,1.05,10,1.33,3.2,2,1.75,3.4,1.28,6.5,1.09,0,0,Over 3.5,3.4,0.2,5,0.178885438199983,2.13333333333333,2021-04-05 00:01:02
2021-04-05,league-two,Tranmere,Cambridge Utd,https://www.playnow.com/sports/sports/event/10344898/soccer/united-kingdom/english-league-2/tranmere-rovers-v-cambridge-united,1.06,10,1.33,3,2,1.7,3.5,1.25,6.5,1.08,0,0,Over 3.5,3.5,0,2,0,2.52173913043478,2021-04-04 11:41:10
2021-04-05,league-two,Stevenage,Bradford City,https://www.playnow.com/sports/sports/event/10344897/soccer/united-kingdom/english-league-2/stevenage-fc-v-bradford-city,1.08,8,1.4,2.7,2.3,1.57,4.25,1.2,7.5,1.05,0,0,Over 3.5,4.25,0,2,0,3.74193548387097,2021-04-04 11:40:51
2021-04-05,league-two,Newport,Bolton,https://www.playnow.com/sports/sports/event/10344896/soccer/united-kingdom/english-league-2/newport-county-afc-v-bolton-wanderers,1.07,9,1.36,2.9,2.15,1.62,3.75,1.22,7,1.07,0,0,"",,,,,,2021-04-04 11:40:33
2021-04-05,league-two,Leyton Orient,Walsall,https://www.playnow.com/sports/sports/event/10344893/soccer/united-kingdom/english-league-2/leyton-orient-v-walsall-fc,1.07,8,1.4,2.7,2.25,1.57,4,1.2,7.5,1.06,0,0,Under 1.5,2.7,0,1,0,1.87096774193548,2021-04-04 11:40:15
2021-04-05,league-two,Harrogate,Port Vale,https://www.playnow.com/sports/sports/event/10344892/soccer/united-kingdom/english-league-2/harrogate-town-fc-v-port-vale,1.07,8.5,1.38,2.8,2.2,1.6,3.9,1.22,7,1.06,0,0,"",,,,,,2021-04-04 11:39:56
2021-04-05,league-two,Grimsby,Cheltenham,https://www.playnow.com/sports/sports/event/10344891/soccer/united-kingdom/english-league-2/grimsby-town-v-cheltenham-town,1.06,9,1.36,2.9,2.1,1.67,3.75,1.22,7,1.07,0,0,Over 3.5,3.75,0,7,0,2.82926829268293,2021-04-04 11:39:38
2021-04-05,league-two,Forest Green,Salford,https://www.playnow.com/sports/sports/event/10344890/soccer/united-kingdom/english-league-2/forest-green-rovers-v-salford-city-fc,1.06,9,1.33,3,2.05,1.67,3.6,1.25,6.5,1.08,0,0,Over 3.5,3.6,0,1,0,2.63636363636364,2021-04-04 11:39:19
2021-04-05,league-two,Exeter,Mansfield,https://www.playnow.com/sports/sports/event/10344889/soccer/united-kingdom/english-league-2/exeter-city-v-mansfield-town,1.06,9,1.36,2.9,2.1,1.67,3.75,1.22,7,1.07,0,0,Over 3.5,3.75,0.181818181818182,11,0.116291299830333,2.49667405764967,2021-04-04 11:39:01
2021-04-05,league-two,Crawley,Oldham,https://www.playnow.com/sports/sports/event/10344887/soccer/united-kingdom/english-league-2/crawley-town-v-oldham-athletic,1.04,12,1.25,3.5,1.83,1.87,3,1.36,5.5,1.12,0,0,Over 4.5,5.5,0,2,0,19.3333333333333,2021-04-04 11:38:42
2021-04-05,league-two,Colchester,Barrow,https://www.playnow.com/sports/sports/event/10344886/soccer/united-kingdom/english-league-2/colchester-united-v-barrow-afc,1.09,7.5,1.44,2.55,2.4,1.5,4.5,1.18,8,1.04,0,0,"",,,,,,2021-04-04 11:38:24
2021-04-03,league-two,Southend,Carlisle,https://www.playnow.com/sports/sports/event/10342804/soccer/united-kingdom/english-league-2/southend-united-v-carlisle-united,1.07,8.5,1.38,2.8,2.2,1.6,3.9,1.22,7.5,1.06,0,0,Over 3.5,3.9,0.285714285714286,7,0.170746944190628,2.46616541353383,2021-04-02 01:49:01
2021-04-02,league-two,Walsall,Harrogate,https://www.playnow.com/sports/sports/event/10342686/soccer/united-kingdom/english-league-2/walsall-fc-v-harrogate-town-fc,1.07,8.5,1.38,2.8,2.2,1.6,3.9,1.22,7.5,1.06,0,0,"",,,,,,2021-04-01 01:13:02
2021-04-02,league-two,Scunthorpe,Crawley,https://www.playnow.com/sports/sports/event/10342667/soccer/united-kingdom/english-league-2/scunthorpe-united-v-crawley-town,1.06,9,1.36,2.9,2.1,1.67,3.6,1.25,7,1.07,0,0,Under 1.5,2.9,0,1,0,2,2021-04-01 01:10:01
2021-04-02,league-two,Salford,Grimsby,https://www.playnow.com/sports/sports/event/10342684/soccer/united-kingdom/english-league-2/salford-city-fc-v-grimsby-town,1.08,8,1.4,2.7,2.25,1.57,4,1.2,7.5,1.05,0,0,Over 3.5,4,0,1,0,3.22222222222222,2021-04-01 01:12:44
2021-04-02,league-two,Port Vale,Exeter,https://www.playnow.com/sports/sports/event/10342680/soccer/united-kingdom/english-league-2/port-vale-v-exeter-city,1.06,10,1.33,3,2.05,1.7,3.5,1.25,6.5,1.08,0,0,Over 3.5,3.5,0.4,5,0.219089023002066,1.91304347826087,2021-04-01 01:12:25
2021-04-02,league-two,Oldham,Stevenage,https://www.playnow.com/sports/sports/event/10342679/soccer/united-kingdom/english-league-2/oldham-athletic-v-stevenage-fc,1.06,9,1.33,3,2.05,1.67,3.6,1.25,6.5,1.08,0,0,Over 3.5,3.6,0,1,0,2.63636363636364,2021-04-01 01:12:07
2021-04-02,league-two,Mansfield,Leyton Orient,https://www.playnow.com/sports/sports/event/10342677/soccer/united-kingdom/english-league-2/mansfield-town-v-leyton-orient,1.06,9,1.36,2.9,2.1,1.67,3.6,1.25,7,1.07,0,0,Over 3.5,3.6,0.2,10,0.126491106406735,2.30909090909091,2021-04-01 01:11:49
2021-04-02,league-two,Cheltenham,Tranmere,https://www.playnow.com/sports/sports/event/10342675/soccer/united-kingdom/english-league-2/cheltenham-town-v-tranmere-rovers,1.07,8.5,1.38,2.8,2.2,1.6,3.9,1.22,7.5,1.06,0,0,Over 3.5,3.9,0.5,2,0.353553390593274,2.02631578947368,2021-04-01 01:11:31
2021-04-02,league-two,Cambridge Utd,Morecambe,https://www.playnow.com/sports/sports/event/10342672/soccer/united-kingdom/english-league-2/cambridge-united-v-morecambe-fc,1.07,8.5,1.38,2.8,2.2,1.62,3.9,1.22,7,1.06,0,0,Over 3.5,3.9,0.166666666666667,6,0.152145154862546,2.71052631578947,2021-04-01 01:11:13
2021-04-02,league-two,Bradford City,Forest Green,https://www.playnow.com/sports/sports/event/10342670/soccer/united-kingdom/english-league-2/bradford-city-v-forest-green-rovers,1.07,8.5,1.36,2.9,2.15,1.62,3.75,1.22,7,1.07,0,0,Over 3.5,3.75,0,1,0,2.82926829268293,2021-04-01 01:10:55
2021-04-02,league-two,Bolton,Colchester,https://www.playnow.com/sports/sports/event/10342666/soccer/united-kingdom/english-league-2/bolton-wanderers-v-colchester-united,1.05,10,1.3,3.2,2,1.75,3.4,1.28,6,1.09,0,0,"",,,,,,2021-04-01 01:10:37
2021-04-02,league-two,Barrow,Newport,https://www.playnow.com/sports/sports/event/10342668/soccer/united-kingdom/english-league-2/barrow-afc-v-newport-county-afc,1.09,7.5,1.47,2.55,2.4,1.5,4.5,1.18,8,1.04,0,0,"",,,,,,2021-04-01 01:10:19
2021-03-30,league-two,Carlisle,Crawley,https://www.playnow.com/sports/sports/event/10342345/soccer/united-kingdom/english-league-2/carlisle-united-v-crawley-town,1.05,11,1.28,3.25,1.9,1.8,3.2,1.3,5.75,1.1,0,0,Over 4.5,5.75,0.2,5,0.178885438199983,93.0000000000004,2021-03-29 11:43:12
